tiempo,posX
0,887.0759
0.1,893.29364
0.2,840.10547
0.3,899.7799
0.4,816.2861
0.5,821.301
0.6,803.16785
0.70000005,871.9402
0.8000001,922.0416
0.9000001,870.7037
1.0000001,922.2082
1.1000001,824.6206
1.2000002,861.8045
1.3000002,924.24677
1.4000002,853.943
1.5000002,761.6703
1.6000003,836.44
1.7000003,891.3893
1.8000003,781.5418
1.9000003,837.6853
2.0000002,829.0922
2.1000001,783.5232
2.2,774.61786
2.3,833.9165
2.3999999,809.02454
2.4999998,773.2933
2.5999997,734.3632
2.6999996,803.1761
2.7999995,892.84155
2.8999994,837.7772
2.9999993,803.22626
3.0999992,719.8115
3.199999,777.6347
3.299999,855.02344
3.399999,748.20044
3.4999988,728.1561
3.5999987,714.1118
3.6999986,845.4975
3.7999985,805.2427
3.8999984,740.64087
3.9999983,728.7183
4.0999985,723.48566
4.1999984,760.726
4.2999983,766.5657
4.399998,695.3252
4.499998,842.1968
4.599998,789.1717
4.699998,720.6983
4.799998,711.82104
4.8999977,778.3478
4.9999976,783.18866
5.0999975,677.6703
5.1999974,690.2287
5.2999973,682.54224
5.399997,666.3463
5.499997,698.77496
5.599997,711.1721
5.699997,764.70807
5.799997,677.7999
5.8999968,796.0601
5.9999967,668.53064
6.0999966,747.6073
6.1999965,723.9882
6.2999964,657.6795
6.3999963,638.1666
6.499996,770.36
6.599996,780.972
6.699996,738.04126
6.799996,735.832
6.899996,682.8466
6.9999957,770.641
7.0999956,711.29913
7.1999955,635.0287
7.2999954,755.8058
7.3999953,652.3973
7.499995,646.3109
7.599995,729.52435
7.699995,712.05347
7.799995,671.11804
7.899995,665.37726
7.9999948,679.9452
8.099995,706.7626
8.199995,612.9782
8.299995,633.3911
8.399996,739.5086
8.499996,639.00146
8.599997,709.0511
8.699997,603.0862
8.799997,693.94495
8.899998,720.71606
8.999998,685.5487
9.099998,615.24255
9.199999,662.0618
9.299999,669.5696
9.4,561.0227
9.5,636.04626
9.6,651.7068
9.700001,583.7813
9.800001,606.40796
9.900002,568.9969
10.000002,533.7819
10.100002,689.71027
10.200003,620.72034
10.300003,662.10254
10.400003,638.109
10.500004,530.81714
10.600004,667.5921
10.700005,556.64746
10.800005,649.6436
10.900005,636.80817
11.000006,583.2975
11.100006,610.43964
11.2000065,533.4365
11.300007,618.2918
11.400007,550.5095
11.500008,562.1854
11.600008,563.572
11.700008,516.8141
11.800009,510.4106
11.900009,588.6791
12.00001,479.3482
12.10001,593.1993
12.20001,625.43256
12.300011,593.72626
12.400011,573.1823
12.500011,559.8083
12.600012,619.6699
12.700012,533.1658
12.800013,591.01526
12.900013,578.60596
13.000013,554.1332
13.100014,533.79755
13.200014,490.97412
13.3000145,484.72388
13.400015,511.4722
13.500015,536.1345
13.600016,460.46732
13.700016,491.32346
13.800016,533.004
13.900017,574.93884
14.000017,503.6795
14.100018,513.1992
14.200018,480.2609
14.300018,581.22925
14.400019,490.03647
14.500019,425.0011
14.600019,428.9722
14.70002,556.9589
14.80002,460.7744
14.900021,506.5744
15.000021,408.73682
15.100021,468.42938
15.200022,404.18146
15.300022,514.56244
15.4000225,415.00766
15.500023,431.96442
15.600023,384.18497
15.700024,512.9241
15.800024,403.37567
15.900024,390.0303
16.000025,388.89957
16.100025,440.70404
16.200026,437.93274
16.300026,371.86362
16.400026,380.7751
