tiempo,posX
0,217.39969
0.1,165.63853
0.2,173.45056
0.3,234.0622
0.4,173.3689
0.5,175.05583
0.6,194.71356
0.70000005,191.89418
0.8000001,186.30896
0.9000001,226.91415
1.0000001,225.36783
1.1000001,227.63692
1.2000002,210.35657
1.3000002,240.59796
1.4000002,204.884
1.5000002,218.73846
1.6000003,214.66335
1.7000003,225.82602
1.8000003,203.28177
1.9000003,224.97313
2.0000002,213.51259
2.1000001,198.66293
2.2,195.4958
2.3,232.16278
2.3999999,222.93817
2.4999998,199.09822
2.5999997,232.91162
2.6999996,220.28633
2.7999995,242.4224
2.8999994,223.31038
2.9999993,237.56921
3.0999992,255.64142
3.199999,258.43015
3.299999,225.3039
3.399999,254.35516
3.4999988,266.8249
3.5999987,254.83963
3.6999986,253.28833
3.7999985,264.80252
3.8999984,256.05765
3.9999983,243.97533
4.0999985,241.14925
4.1999984,256.34552
4.2999983,241.69977
4.399998,274.7825
4.499998,222.28113
4.599998,253.25983
4.699998,224.55908
4.799998,272.25723
4.8999977,290.95688
4.9999976,289.74136
5.0999975,270.4762
5.1999974,263.69284
5.2999973,276.9497
5.399997,290.55396
5.499997,279.8981
5.599997,300.42905
5.699997,272.8515
5.799997,276.11758
5.8999968,240.54164
5.9999967,277.54016
6.0999966,243.253
6.1999965,287.42255
6.2999964,302.22675
6.3999963,262.00293
6.499996,311.5094
6.599996,312.26715
6.699996,261.54288
6.799996,264.0104
6.899996,284.95172
6.9999957,312.06885
7.0999956,310.82242
7.1999955,311.7483
7.2999954,299.22632
7.3999953,266.4298
7.499995,326.92035
7.599995,298.15182
7.699995,310.90784
7.799995,315.7695
7.899995,292.47607
7.9999948,306.7824
8.099995,302.72638
8.199995,311.52792
8.299995,316.24176
8.399996,299.62265
8.499996,334.42407
8.599997,292.70944
8.699997,283.51874
8.799997,305.9132
8.899998,279.05014
8.999998,340.1139
9.099998,289.13602
9.199999,285.59604
9.299999,333.9636
9.4,289.4976
9.5,312.97983
9.6,335.10922
9.700001,336.7787
9.800001,295.78656
9.900002,348.48785
10.000002,296.5061
10.100002,311.6389
10.200003,349.5956
10.300003,309.78226
10.400003,302.6422
10.500004,303.95053
10.600004,352.88446
10.700005,359.90045
10.800005,339.38367
10.900005,361.62238
11.000006,313.16486
11.100006,322.2172
11.2000065,358.90298
11.300007,318.8923
11.400007,338.135
11.500008,312.61935
11.600008,338.65567
11.700008,379.3888
11.800009,344.2419
11.900009,338.34167
12.00001,362.99255
12.10001,374.21844
12.20001,370.22467
12.300011,332.9851
12.400011,361.98764
12.500011,373.51245
12.600012,377.08344
12.700012,330.91913
12.800013,364.1406
12.900013,376.98682
13.000013,348.7778
13.100014,387.46478
13.200014,374.64276
13.3000145,395.92813
13.400015,358.04626
13.500015,358.49722
13.600016,385.6095
13.700016,367.65417
13.800016,380.78546
13.900017,364.13544
14.000017,351.2803
14.100018,371.6747
14.200018,384.2782
14.300018,385.71136
14.400019,408.58322
14.500019,394.02444
14.600019,375.48578
14.70002,413.2339
14.80002,375.78857
14.900021,358.1156
15.000021,356.83896
15.100021,407.36017
15.200022,377.60638
15.300022,411.63947
15.4000225,373.11966
15.500023,379.03705
15.600023,399.441
15.700024,408.0671
15.800024,408.37622
15.900024,390.98874
16.000025,390.0035
16.100025,418.53156
16.200026,393.6035
16.300026,429.36545
16.400026,413.243
16.500027,395.2235
16.600027,418.37527
16.700027,435.05307
16.800028,434.2017
16.900028,386.42322
17.000029,402.92035
17.100029,448.18936
17.20003,409.221
17.30003,392.00153
17.40003,400.23386
17.50003,405.76773
17.60003,405.66754
17.700031,401.518
17.800032,410.5316
17.900032,455.3703
18.000032,418.8636
18.100033,453.81146
18.200033,446.3699
18.300034,430.69415
18.400034,446.09442
18.500034,436.48914
18.600035,438.35977
18.700035,460.62964
18.800035,453.86462
18.900036,411.34277
19.000036,460.51477
19.100037,412.43076
19.200037,463.29132
19.300037,427.2399
19.400038,412.8525
19.500038,440.59436
19.600039,419.34662
19.700039,465.31314
19.80004,484.14618
19.90004,458.46732
20.00004,422.0342
20.10004,455.94272
20.20004,427.972
20.300041,439.58255
20.400042,474.53748
20.500042,429.26923
20.600042,452.1886
20.700043,440.93167
20.800043,468.00986
