tiempo,posX
0,642.6759
0.1,678.5679
0.2,560.13043
0.3,607.2731
0.4,564.07733
0.5,597.32227
0.6,584.4437
0.70000005,560.7992
0.8000001,572.14954
0.9000001,675.88666
1.0000001,675.4587
1.1000001,554.9149
1.2000002,640.74164
1.3000002,632.1568
1.4000002,689.82947
1.5000002,672.4107
1.6000003,587.2328
1.7000003,689.70764
1.8000003,666.5814
1.9000003,670.54913
2.0000002,655.1547
2.1000001,528.9963
2.2,590.0773
2.3,570.94604
2.3999999,611.04395
2.4999998,653.1665
2.5999997,513.267
2.6999996,557.25946
2.7999995,642.941
2.8999994,549.98535
2.9999993,654.0516
3.0999992,668.5763
3.199999,623.3182
3.299999,541.1215
3.399999,644.1911
3.4999988,577.5214
3.5999987,528.09576
3.6999986,662.3664
3.7999985,558.7638
3.8999984,610.7101
3.9999983,519.4455
4.0999985,508.54333
4.1999984,543.77515
4.2999983,535.20276
4.399998,631.95685
4.499998,531.34436
4.599998,642.0503
4.699998,553.31494
4.799998,667.00684
4.8999977,541.7701
4.9999976,552.4544
5.0999975,606.7528
5.1999974,595.7438
5.2999973,587.3284
5.399997,628.8593
5.499997,576.6703
5.599997,550.5481
5.699997,630.18567
5.799997,636.29724
5.8999968,550.0458
5.9999967,542.38007
6.0999966,484.57593
6.1999965,554.19366
6.2999964,477.68948
6.3999963,476.42725
6.499996,640.41833
6.599996,564.1995
6.699996,551.4128
6.799996,618.7022
6.899996,562.23444
6.9999957,593.30817
7.0999956,552.80334
7.1999955,578.07074
7.2999954,502.06503
7.3999953,596.36414
7.499995,590.9387
7.599995,608.4922
7.699995,497.3355
7.799995,560.394
7.899995,520.29425
7.9999948,630.6547
8.099995,578.5574
8.199995,507.92474
8.299995,538.03296
8.399996,613.33673
8.499996,482.29446
8.599997,506.89502
8.699997,469.11908
8.799997,524.3353
8.899998,498.78378
8.999998,457.3031
9.099998,507.1837
9.199999,454.53265
9.299999,616.12524
9.4,494.9272
9.5,460.53357
9.6,558.95746
9.700001,489.88336
9.800001,481.64
9.900002,593.3468
10.000002,568.0199
10.100002,510.70245
10.200003,533.6215
10.300003,522.97107
10.400003,545.6044
10.500004,595.86035
10.600004,444.08124
10.700005,508.1447
10.800005,584.3741
10.900005,450.52026
11.000006,559.72156
11.100006,463.94595
11.2000065,479.59186
11.300007,524.87
11.400007,507.20187
11.500008,550.7003
11.600008,562.59564
11.700008,601.172
11.800009,448.43088
11.900009,577.2778
12.00001,535.85815
12.10001,496.4822
12.20001,427.54608
12.300011,519.45386
12.400011,503.53363
12.500011,483.79364
12.600012,495.0067
12.700012,537.6253
12.800013,581.8845
12.900013,529.7672
13.000013,424.98474
13.100014,510.67923
13.200014,586.70966
13.3000145,537.1283
13.400015,521.42224
13.500015,508.29007
13.600016,432.3405
13.700016,551.3021
13.800016,557.8439
13.900017,581.9586
14.000017,421.88538
14.100018,561.3663
14.200018,446.42783
14.300018,454.6878
14.400019,498.87878
14.500019,552.2406
14.600019,405.66516
14.70002,486.67984
14.80002,485.13043
14.900021,499.37772
15.000021,452.15567
15.100021,511.07007
15.200022,413.927
15.300022,455.78058
15.4000225,428.09686
15.500023,441.2129
15.600023,451.89847
